analysis_key,question_text,target_question,item,company_size_class,answer,n,total,pct,denom_type
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",GU,"Automatisierte Erfassung, automatisierte Auswertung",9,34,26.47058823529412,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",GU,"Automatisierte Erfassung, manuelle Auswertung",12,34,35.294117647058826,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",GU,Keine Erfassung,7,34,20.588235294117645,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",GU,"Manuelle Erfassung, keine Nutzung",1,34,2.941176470588235,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",GU,"Manuelle Erfassung, manuelle Auswertung",5,34,14.705882352941178,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",KMU,"Automatisierte Erfassung, automatisierte Auswertung",4,16,25.0,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",KMU,"Automatisierte Erfassung, manuelle Auswertung",4,16,25.0,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",KMU,Keine Erfassung,5,16,31.25,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",KMU,"Manuelle Erfassung, keine Nutzung",1,16,6.25,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Automatisierungstechnik(z.B. Robotik, Steuerungstechnik, Handhabungstechnik, Regelungstechnik, ...)",KMU,"Manuelle Erfassung, manuelle Auswertung",2,16,12.5,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",GU,"Automatisierte Erfassung, automatisierte Auswertung",7,31,22.58064516129032,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",GU,"Automatisierte Erfassung, manuelle Auswertung",6,31,19.35483870967742,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",GU,Keine Erfassung,9,31,29.03225806451613,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",GU,"Manuelle Erfassung, keine Nutzung",3,31,9.67741935483871,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",GU,"Manuelle Erfassung, manuelle Auswertung",6,31,19.35483870967742,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",KMU,"Automatisierte Erfassung, automatisierte Auswertung",2,21,9.523809523809524,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",KMU,"Automatisierte Erfassung, manuelle Auswertung",2,21,9.523809523809524,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",KMU,Keine Erfassung,10,21,47.61904761904761,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",KMU,"Manuelle Erfassung, keine Nutzung",5,21,23.809523809523807,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Außerbetriebliche Logistik(z.B. Verkehrsmittel, Tourenplanung, ...)",KMU,"Manuelle Erfassung, manuelle Auswertung",2,21,9.523809523809524,item_valid_total
daten_erfassung,"Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Bitte bewerten Sie, inwieweit Daten in Ihrem Unernehmen erfasst und genutzt werden.","Instandhaltung(z.B. Ausfallzeiten von Maschinen, ...)",GU,"Automatisierte Erfassung, automatisierte Auswertung",9,41,21.951219512195124,item_valid_total
