question_text,item,company_size_class,value,n_valid,n_total,pct_valid
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Daten aus der Lieferkette (Kunden, Lieferanten) nur schwer zugänglich",GU,3.275,40,45,88.88888888888889
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Daten aus der Lieferkette (Kunden, Lieferanten) nur schwer zugänglich",KMU,2.9047619047619047,21,23,91.30434782608695
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Fehlende Informationen zu früher hergestellten Produkten (Materialien, Komponenten etc.)",GU,2.85,40,45,88.88888888888889
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Fehlende Informationen zu früher hergestellten Produkten (Materialien, Komponenten etc.)",KMU,2.3684210526315788,19,23,82.6086956521739
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Fehlende Informationen zum Ressourcenbedarf (Material, Energie,...) für die Produktaufbereitung",GU,2.575,40,45,88.88888888888889
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Fehlende Informationen zum Ressourcenbedarf (Material, Energie,...) für die Produktaufbereitung",KMU,2.1666666666666665,18,23,78.26086956521739
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende Kompetenzen zur Bewertung/Befundung zurückgeführter Produkte,GU,2.769230769230769,39,45,86.66666666666667
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende Kompetenzen zur Bewertung/Befundung zurückgeführter Produkte,KMU,2.380952380952381,21,23,91.30434782608695
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende Kompetenzen zur Demontage zurückgeführter Produkte,GU,2.324324324324324,37,45,82.22222222222221
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende Kompetenzen zur Demontage zurückgeführter Produkte,KMU,2.0,20,23,86.95652173913044
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende allgemein methodische Kompetenzen für die Transformation zur Kreislaufwirtschaft,GU,2.888888888888889,36,45,80.0
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Fehlende allgemein methodische Kompetenzen für die Transformation zur Kreislaufwirtschaft,KMU,2.210526315789474,19,23,82.6086956521739
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Geringe Unterstützung/Priorisierung der Unternehmensleitung,GU,2.8484848484848486,33,45,73.33333333333333
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Geringe Unterstützung/Priorisierung der Unternehmensleitung,KMU,1.95,20,23,86.95652173913044
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Geringe Vorbereitung auf anstehende Regelungen (z.B. Packing Waste Regulation, Ecodesign Regulation, Circular Economy Act)",GU,2.9714285714285715,35,45,77.77777777777779
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,"Geringe Vorbereitung auf anstehende Regelungen (z.B. Packing Waste Regulation, Ecodesign Regulation, Circular Economy Act)",KMU,2.789473684210526,19,23,82.6086956521739
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Niedrige Preise von Neuprodukten,GU,3.025,40,45,88.88888888888889
In welchem Maß stellen die folgenden Punkte ein Hemmnis für die Umsetzung von Kreislaufwirtschaft in Ihrem Unternehmen dar?,Niedrige Preise von Neuprodukten,KMU,3.619047619047619,21,23,91.30434782608695
