respondent_id,question_text,item,answer
1,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
2,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
3,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
4,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
5,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
6,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
7,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
8,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
9,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
10,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
11,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
12,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
13,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
14,Welcher Art von Organisation gehören Sie an?,,IT-/Entwicklungsdienstleister
15,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
16,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
17,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
18,Welcher Art von Organisation gehören Sie an?,,Sonstiges: Ingenieurbüro
19,Welcher Art von Organisation gehören Sie an?,,IT-/Entwicklungsdienstleister
20,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
21,Welcher Art von Organisation gehören Sie an?,,Forschungsinstitution
22,Welcher Art von Organisation gehören Sie an?,,IT-/Entwicklungsdienstleister
23,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
24,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
25,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
26,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
27,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
28,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
29,Welcher Art von Organisation gehören Sie an?,,Produzierendes Unternehmen
